trial,shift_days,sharpe,cagr,max_dd,n_days
84,-222,0.6464834170472172,0.11299774281048114,-0.24864727270731712,1761
85,335,0.13618976753220347,0.03276883316792478,-0.41619753465067955,1761
86,592,0.0995988095661251,0.027543486295118047,-0.3878384739921913,1761
87,688,-0.08586441443045358,0.001549497443382064,-0.4111778497557903,1761
88,-281,0.7271219483011784,0.12668448694721612,-0.17946013073721412,1761
89,252,0.05004834437007069,0.020233569288024666,-0.3815569094635335,1761
90,713,-0.05628938780604733,0.00561269642244322,-0.4196613561886704,1761
91,547,0.06498530252048315,0.022263432317812137,-0.4242662700831511,1761
92,-659,1.3612194508479718,0.25710669772825945,-0.12816425636068374,1761
93,245,0.07273098518681838,0.0235256372288013,-0.3730117162743094,1761
94,225,0.01071489162661786,0.014702912690847558,-0.4116660259041576,1761
95,635,-0.08404119536220221,0.0012696628246822161,-0.4241787149153877,1761
96,-378,1.0669224453222224,0.18889179701380887,-0.17263339625283625,1761
97,464,-0.004505749108734155,0.012599303854788468,-0.3753169801256766,1761
98,381,0.1529843706178452,0.03523761033085604,-0.39308982283621363,1761
99,391,0.1679872716095311,0.03743264395632373,-0.38622361344207357,1761
100,-306,0.8116311656457992,0.141823431663898,-0.2027457117501218,1761
101,-359,0.934993925736881,0.1658484941614775,-0.16314171151740708,1761
102,670,-0.03349162432210354,0.009013070243078403,-0.4011713837765464,1761
103,256,0.06531384898025688,0.02240045251032341,-0.4000023584836465,1761
104,-714,1.3279173677786866,0.24685336226711274,-0.20192917778958375,1761
105,414,0.0660731985073377,0.022793474658849178,-0.3662565809720991,1761
106,-541,1.1807128843572698,0.21190451663595544,-0.17663808695310812,1761
107,261,0.06574619381385388,0.02249294623384368,-0.40151574900930354,1761
108,-560,1.3188328543602248,0.23776129257669076,-0.14795318258967893,1761
109,627,-0.07968752361913208,0.0018738364728594359,-0.4289937701857517,1761
110,280,0.08182545412770463,0.024801505752719555,-0.3909045268007547,1761
111,-455,0.9910163389640242,0.17705296259614522,-0.19613925118065068,1761
112,690,-0.06578125913170389,0.00429507007334351,-0.39259100845611794,1761
113,-350,0.9004086991474545,0.15878435230365784,-0.16716893757503248,1761
114,230,0.022624110992276292,0.016375510046338526,-0.3963763264935214,1761
115,262,0.05037346661090021,0.020278718059621337,-0.40322659035661346,1761
116,674,-0.029840747998481566,0.009531630750294617,-0.4115067810080638,1761
117,-327,0.7779383465442254,0.1370958863301941,-0.21011435257335997,1761
118,452,0.035303833979674716,0.018350710451898733,-0.3804515011157107,1761
119,-523,1.14518993483188,0.20424808443638387,-0.1777740739192486,1761
120,-537,1.1501102815772117,0.20607859539665951,-0.17214353498938606,1761
121,-304,0.7755427654763911,0.1356444683639566,-0.20218047674882045,1761
122,660,-0.0899721716243504,0.0012041454629316828,-0.3689557023851694,1761
123,257,0.08309870077146154,0.0250105357155177,-0.38315710927311497,1761
124,-598,1.0715681259949925,0.19615185522851486,-0.22541961648246966,1761
125,-329,0.7851571948501084,0.1382236031492734,-0.20929768014083527,1761
126,295,-0.0007308161920448376,0.012746316240207722,-0.4140048397272993,1761
127,-300,0.7538292813872333,0.131676420668714,-0.1905340667622063,1761
128,-248,0.5843889425636203,0.10311086533089298,-0.265891385055282,1761
129,-608,1.0686906321484546,0.1924961298152974,-0.22063272929220645,1761
130,621,-0.06138463621751939,0.004568820219494674,-0.43678150602629684,1761
131,652,-0.1328608801727035,-0.004927966798220829,-0.4277216942804075,1761
132,600,0.11148280217095587,0.029253785766568896,-0.37600007243567546,1761
133,213,0.03988485112554941,0.01895441184831892,-0.4034177001773812,1761
134,-430,0.948726985966584,0.16858920191237758,-0.20895447371852793,1761
135,-428,0.9921267499622441,0.17587687356476822,-0.20216784730825288,1761
136,450,0.01830635125707954,0.015942267103043584,-0.39492699793267116,1761
137,634,-0.0587943003845692,0.0047992986637657165,-0.42192794401337075,1761
138,570,-0.006999546812855937,0.012177128292808703,-0.40696354432539517,1761
139,-530,1.1839982664260442,0.21202478400091485,-0.17112906575620213,1761
140,225,0.01071489162661786,0.014702912690847558,-0.4116660259041576,1761
141,307,0.05104476516701795,0.020260052163324715,-0.4199393873979249,1761
142,194,0.28365536923502654,0.054117348590568826,-0.30806913639546873,1761
143,-699,1.4140548445196177,0.26772650027691713,-0.16642970742104612,1761
144,-630,1.2610498109537196,0.2277251338951023,-0.16401073225721385,1761
145,202,0.1275695894131962,0.03154469875631838,-0.3786000263026771,1761
146,-697,1.4318077758396315,0.27073183395837597,-0.16399072456875385,1761
147,506,0.05989962103791247,0.021878314261768006,-0.40546445366149597,1761
148,-614,1.086678210291372,0.19637577288883268,-0.2233222327898522,1761
149,652,-0.1328608801727035,-0.004927966798220829,-0.4277216942804075,1761
150,-242,0.601867902693228,0.10615437421844387,-0.2637718575818474,1761
151,-236,0.5917963883336453,0.10387394941795325,-0.26123109413848256,1761
152,-240,0.645287222216391,0.11301441720374283,-0.2445739790139142,1761
153,322,0.09838991083740352,0.027255599782183726,-0.3957818927108875,1761
154,-468,1.0466295747202412,0.18689417522054708,-0.18383919277313177,1761
155,702,-0.048856224811437164,0.006806974347119299,-0.42451749239852543,1761
156,528,0.015366709857072862,0.015285678822570814,-0.4201980863156677,1761
157,-612,1.1198710651979857,0.20219686729988395,-0.21722914612844157,1761
158,200,0.14603013061858297,0.03419785078874682,-0.36953244869218993,1761
159,-404,1.0520110959488362,0.18631185513435988,-0.20127027078544368,1761
160,-442,0.927208960074867,0.1637968341967897,-0.19840639382299574,1761
161,-417,1.0301691854109083,0.18274488983940818,-0.20903261880064794,1761
162,-352,0.9576285404204179,0.16864284988262646,-0.16215637426673712,1761
163,450,0.01830635125707954,0.015942267103043584,-0.39492699793267116,1761
164,561,0.005926457909063988,0.01391361836289251,-0.4173779918511824,1761
165,-184,0.5667743097276001,0.09925000686493113,-0.21210470081312294,1761
166,-721,1.3842428945886893,0.257581024545112,-0.18643263076750516,1761
167,460,0.042305502501460555,0.019320896936560805,-0.368244732307766,1761
168,531,-0.014433097093275764,0.010981992587185907,-0.4360055294043974,1761
169,270,0.10378755809346794,0.02802540415010446,-0.3918972928181408,1761
170,-529,1.16412285715566,0.2081587457587073,-0.1754053040648208,1761
171,495,0.015821155079634212,0.015601643148508204,-0.37806445796643195,1761
172,-585,1.2130300396719198,0.22221849792434156,-0.2184456890783263,1761
173,-215,0.64532692268313,0.11298999189225056,-0.2624893059797483,1761
174,329,0.11954643924942493,0.030338278887235504,-0.4073225659356743,1761
175,329,0.11954643924942493,0.030338278887235504,-0.4073225659356743,1761
176,330,0.11317819941860849,0.029394691036366494,-0.41645724920042815,1761
177,469,0.029557501627350043,0.017377962998725627,-0.37860194714913387,1761
178,491,0.058499930066749764,0.021706274638166878,-0.37107844443470395,1761
179,709,-0.020091041336504877,0.01067178938147717,-0.40856189605068294,1761
180,525,0.033732663902642415,0.018036608543523958,-0.39983748044147605,1761
181,-728,1.3941717532998241,0.25741651713158764,-0.1750463300826739,1761
182,-489,1.0425706109634463,0.18247207628442608,-0.17570596782702042,1761
183,237,0.043982762140550656,0.019374121803442224,-0.37765853780457037,1761
184,206,0.10284040979780998,0.02799512530906867,-0.38231643650673164,1761
185,-631,1.2164083241376638,0.2193422387658377,-0.1653867670594722,1761
186,-554,1.1987985449720293,0.21539291332285204,-0.16849871937918703,1761
187,671,-0.04593485335110112,0.007241204202464546,-0.40617701860923605,1761
188,497,0.042413330835836226,0.019427134624987463,-0.3773446400692748,1761
189,570,-0.006999546812855937,0.012177128292808703,-0.40696354432539517,1761
190,-590,1.1669337659135728,0.21491763853892976,-0.22455899724199035,1761
191,610,-0.03494537044965087,0.008462673499757267,-0.4346489821263265,1761
192,593,0.11020962401205928,0.02906716961899458,-0.38327221736383166,1761
193,-348,0.9099606471819258,0.1601395555164773,-0.1652873846263112,1761
194,468,0.023441825230096063,0.01652586404356038,-0.36790973441084973,1761
195,199,0.17540491888114979,0.03842154980165402,-0.35380752398821314,1761
196,-425,0.9781185352865699,0.17415604659508266,-0.19522259200709025,1761
197,478,0.04967152236653781,0.02037205225987826,-0.38689141364707336,1761
198,587,0.04410492398815296,0.01962447599678785,-0.4241891083789857,1761
199,470,0.0602791476847897,0.021765891821860173,-0.3903874011311821,1761
